Price,Rating,Url,Description,Reviewcount
"Vivo Y51 (Crystal Symphony, 8GB RAM, 128GB ROM) with No Cost EMI/Additional Exchange Offers","₹17,990",3.5 out of 5 stars,55,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A084062696N92N7RBELC&url=%2FTest-Exclusive244_Sep19%2Fdp%2FB07XBYLRVP%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsmartphones%26qid%3D1610894946%26s%3Delectronics%26sr%3D1-1-spons%26psc%3D1&qualifier=1610894946&id=4320602406166578&widgetName=sp_atf
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹5,999",3.4 out of 5 stars,"7,725",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sr_1_2?dchild=1&keywords=smartphones&qid=1610894946&s=electronics&sr=1-2
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹7,499",3.9 out of 5 stars,"8,789",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B086KCCMCP/ref=sr_1_3?dchild=1&keywords=smartphones&qid=1610894946&s=electronics&sr=1-3
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","₹8,999",4.0 out of 5 stars,"9,099",https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_4?dchild=1&keywords=smartphones&qid=1610894946&s=electronics&sr=1-4
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","₹13,999",4.2 out of 5 stars,"84,450",https://www.amazon.in/Samsung-Galaxy-Midnight-Blue-Storage/dp/B07HGJJ559/ref=sr_1_5?dchild=1&keywords=smartphones&qid=1610894946&s=electronics&sr=1-5
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","₹16,499",4.2 out of 5 stars,"125,304",https://www.amazon.in/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_6?dchild=1&keywords=smartphones&qid=1610894946&s=electronics&sr=1-6
"Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery","₹7,999",4.0 out of 5 stars,"33,238",https://www.amazon.in/Redmi-8A-Dual-Blue-Storage/dp/B07WPVLKPW/ref=sr_1_7?dchild=1&keywords=smartphones&qid=1610894946&s=electronics&sr=1-7
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","₹11,999",4.2 out of 5 stars,"24,181",https://www.amazon.in/Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_8?dchild=1&keywords=smartphones&qid=1610894946&s=electronics&sr=1-8
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","₹5,000",2.9 out of 5 stars,923,https://www.amazon.in/Panasonic-Storage-Finger-4000mAh-Battery/dp/B08BV2T63X/ref=sr_1_9?dchild=1&keywords=smartphones&qid=1610894946&s=electronics&sr=1-9
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI","₹12,999",4.2 out of 5 stars,"28,734",https://www.amazon.in/Redmi-Note-Pro-Interstellar-Snapdragon/dp/B077PWBC78/ref=sr_1_10?dchild=1&keywords=smartphones&qid=1610894946&s=electronics&sr=1-10
